0.0000 0.00 0.00 0.00
5.0000 0.00 0.00 0.00
0.0000 5.0000 0.00 0.00
0.0200 0.00 0.00 0.00
5.0200 0.00 0.00 0.00
0.0200 5.0200 0.00 0.00
0.0400 0.00 0.00 0.00
5.0400 0.00 0.00 0.00
0.0400 5.0400 0.00 0.00
0.0600 0.00 0.00 0.00
5.0600 0.00 0.00 0.00
0.0600 5.0600 0.00 0.00
0.0800 0.00 0.00 0.00
5.0800 0.00 0.00 0.00
0.0800 5.0800 0.00 0.00
0.1000 0.00 0.00 0.00
5.1000 0.00 0.00 0.00
0.1000 5.1000 0.00 0.00
0.1200 0.00 0.00 0.00
5.1200 0.00 0.00 0.00
0.1200 5.1200 0.00 0.00
0.1400 0.00 0.00 0.00
5.1400 0.00 0.00 0.00
0.1400 5.1400 0.00 0.00
0.1600 0.00 0.00 0.00
5.1600 0.00 0.00 0.00
0.1600 5.1600 0.00 0.00
0.1800 0.00 0.00 0.00
5.1800 0.00 0.00 0.00
0.1800 5.1800 0.00 0.00
